City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
111,Upernavik,GL,2022-02-06 00:15:41,72.7868,-56.1549,-1.7,97,100,3.0
112,Nichinan,JP,2022-02-06 00:15:52,31.6,131.3667,40.68,57,5,9.64
113,Pangnirtung,CA,2022-02-06 00:15:53,66.1451,-65.7125,-30.98,98,100,3.67
114,Dunedin,NZ,2022-02-06 00:11:54,-45.8742,170.5036,53.8,68,68,8.01
115,Shcherbinka,RU,2022-02-06 00:15:54,55.4997,37.5597,10.69,92,75,6.71
116,Vila Franca Do Campo,PT,2022-02-06 00:15:55,37.7167,-25.4333,60.19,82,94,12.26
117,Talnakh,RU,2022-02-06 00:15:55,69.4865,88.3972,-16.6,100,100,2.84
118,Tombouctou,ML,2022-02-06 00:15:56,20.0,-3.0,63.77,11,72,8.55
119,Georgetown,MY,2022-02-06 00:15:21,5.4112,100.3354,79.9,89,20,2.3
120,Cape Town,ZA,2022-02-06 00:14:52,-33.9258,18.4232,69.12,68,0,1.01
121,Buala,SB,2022-02-06 00:15:58,-8.145,159.5921,85.96,72,98,8.81
122,Hofn,IS,2022-02-06 00:15:59,64.2539,-15.2082,29.35,65,73,16.53
123,Kapaa,US,2022-02-06 00:13:29,22.0752,-159.319,79.2,64,0,1.99
124,Lorengau,PG,2022-02-06 00:13:41,-2.0226,147.2712,84.16,70,95,7.76
125,Tuktoyaktuk,CA,2022-02-06 00:16:00,69.4541,-133.0374,-29.2,68,75,9.22
126,Kavaratti,IN,2022-02-06 00:12:00,10.5669,72.642,78.01,61,11,7.0
127,Ngunguru,NZ,2022-02-06 00:12:53,-35.6167,174.5,80.17,96,100,10.18
128,Beroroha,MG,2022-02-06 00:16:02,-21.6667,45.1667,74.34,84,100,14.74
129,Doha,QA,2022-02-06 00:16:03,25.2867,51.5333,62.58,46,0,11.5
130,Hami,CN,2022-02-06 00:14:49,42.8,93.45,26.31,28,100,9.17
131,Ostrovnoy,RU,2022-02-06 00:16:05,68.0531,39.5131,15.49,84,100,28.79
132,San Patricio,US,2022-02-06 00:13:03,28.017,-97.5169,50.72,42,0,5.39
133,Ribeira Grande,PT,2022-02-06 00:16:07,38.5167,-28.7,59.72,73,29,12.33
134,Berlevag,NO,2022-02-06 00:16:07,70.8578,29.0864,24.44,82,53,24.49
135,Dobryatino,RU,2022-02-06 00:16:08,55.5055,41.3195,-3.6,100,98,3.09
136,Ponta Do Sol,PT,2022-02-06 00:15:01,32.6667,-17.1,67.01,52,10,12.08
137,Bay City,US,2022-02-06 00:15:09,43.5945,-83.8889,22.1,73,100,4.0
138,Gravdal,NO,2022-02-06 00:16:10,68.1214,13.5031,38.43,74,95,22.46
139,Waitati,NZ,2022-02-06 00:17:11,-45.75,170.5667,53.8,68,38,6.58
140,Ahipara,NZ,2022-02-06 00:17:12,-35.1667,173.1667,79.07,70,99,5.19
141,Geraldton,AU,2022-02-06 00:14:16,-28.7667,114.6,77.41,78,100,12.66
142,Laguna,US,2022-02-06 00:17:14,38.421,-121.4238,67.05,44,0,3.0
143,Belaya Gora,RU,2022-02-06 00:12:16,68.5333,146.4167,-42.11,100,94,2.04
144,Provideniya,RU,2022-02-06 00:17:15,64.3833,-173.3,-1.68,82,2,11.27
145,Calabozo,VE,2022-02-06 00:17:16,8.9242,-67.4293,86.85,36,14,3.42
146,Khorramshahr,IR,2022-02-06 00:17:17,30.4397,48.1664,51.76,71,0,6.91
147,Griffith,US,2022-02-06 00:17:17,41.5284,-87.4237,15.62,74,0,4.0
148,Arraial Do Cabo,BR,2022-02-06 00:17:18,-22.9661,-42.0278,76.78,85,70,27.45
149,Sumkino,RU,2022-02-06 00:17:19,58.1108,68.3244,10.45,93,100,4.43
150,Petatlan,MX,2022-02-06 00:17:20,17.5167,-101.2667,84.0,57,0,4.23
151,Ancud,CL,2022-02-06 00:13:04,-41.8697,-73.8203,60.33,77,43,2.21
152,Padang,ID,2022-02-06 00:17:21,-0.9492,100.3543,71.65,93,100,3.36
153,Kahului,US,2022-02-06 00:13:05,20.8947,-156.47,84.22,67,40,21.85
154,Barrow,US,2022-02-06 00:14:35,71.2906,-156.7887,-18.38,69,0,11.5
155,Arlit,NE,2022-02-06 00:15:19,18.7369,7.3853,61.18,16,0,5.41
156,Airai,TL,2022-02-06 00:16:47,-8.9266,125.4092,68.41,74,82,1.9
157,Agadir,MA,2022-02-06 00:14:52,30.4202,-9.5982,61.25,47,74,5.1
158,Guerrero Negro,MX,2022-02-06 00:15:42,27.9769,-114.0611,66.56,29,0,12.41
159,Zyryanka,RU,2022-02-06 00:17:25,65.75,150.85,-36.2,98,52,2.89
160,San Clemente,US,2022-02-06 00:17:26,33.427,-117.612,75.38,29,25,4.0
161,Phonhong,LA,2022-02-06 00:17:26,18.5007,102.4166,64.22,89,100,1.72
162,Goderich,CA,2022-02-06 00:17:27,43.7501,-81.7165,15.91,73,95,8.05
163,Yuancheng,CN,2022-02-06 00:17:28,36.652,107.7896,17.62,89,100,8.21
164,Chicama,PE,2022-02-06 00:17:29,-7.8447,-79.1469,64.94,73,18,8.32
165,East London,ZA,2022-02-06 00:14:43,-33.0153,27.9116,69.8,87,100,17.31
166,Vestmannaeyjar,IS,2022-02-06 00:17:31,63.4427,-20.2734,28.24,76,87,17.22
167,Culasi,PH,2022-02-06 00:17:31,11.4272,122.056,78.71,78,100,17.69
168,Nalut,LY,2022-02-06 00:17:32,30.3333,10.85,54.61,21,99,11.21
169,Churapcha,RU,2022-02-06 00:17:33,62.0025,132.4325,-35.01,100,100,0.31
170,Te Anau,NZ,2022-02-06 00:17:34,-45.4167,167.7167,62.33,43,8,4.76
171,Luwingu,ZM,2022-02-06 00:17:35,-10.2621,29.9271,61.68,96,100,4.21
172,Vila Do Maio,CV,2022-02-06 00:17:36,15.1333,-23.2167,70.59,83,0,16.73
173,Araria,IN,2022-02-06 00:17:36,26.15,87.5167,51.67,88,0,0.78
174,Naze,JP,2022-02-06 00:13:03,28.3667,129.4833,50.43,68,100,15.32
175,Praia,CV,2022-02-06 00:17:37,14.9215,-23.5087,70.34,83,0,14.97
176,Vanimo,PG,2022-02-06 00:17:38,-2.6741,141.3028,82.94,74,100,2.71
177,Tazmalt,DZ,2022-02-06 00:17:39,36.3868,4.3989,49.42,95,100,4.68
178,Najran,SA,2022-02-06 00:14:47,17.4924,44.1277,61.45,59,0,4.56
179,Sola,VU,2022-02-06 00:17:41,-13.8833,167.55,82.35,80,99,20.38
180,Tasiilaq,GL,2022-02-06 00:14:44,65.6145,-37.6368,17.76,59,98,8.68
181,Kavieng,PG,2022-02-06 00:18:42,-2.5744,150.7967,83.64,73,86,7.43
182,Yenagoa,NG,2022-02-06 00:18:44,4.9247,6.2642,77.18,86,9,3.49
183,Porto Santo,PT,2022-02-06 00:18:45,33.072,-16.3415,66.31,82,40,26.46
184,San Pedro,PH,2022-02-06 00:16:53,14.35,121.0167,80.35,69,20,10.36
185,Saskylakh,RU,2022-02-06 00:18:46,71.9167,114.0833,-31.34,100,99,3.18
186,Kruisfontein,ZA,2022-02-06 00:18:47,-34.0033,24.7314,66.88,79,61,13.18
187,Pitimbu,BR,2022-02-06 00:18:48,-7.4706,-34.8086,81.19,70,68,8.88
188,Klaksvik,FO,2022-02-06 00:18:49,62.2266,-6.589,32.92,80,97,16.2
189,Komsomolskiy,UZ,2022-02-06 00:18:21,40.4272,71.7189,38.62,32,100,6.91
190,Hasaki,JP,2022-02-06 00:18:50,35.7333,140.8333,37.29,39,30,14.05
191,Thompson,CA,2022-02-06 00:18:51,55.7435,-97.8558,-12.84,70,75,4.61
192,Bosaso,SO,2022-02-06 00:18:52,11.2842,49.1816,71.55,78,96,3.74
193,Maldonado,UY,2022-02-06 00:18:53,-34.6667,-54.9167,65.59,86,74,10.11
194,Manta,EC,2022-02-06 00:18:54,-0.95,-80.7333,78.58,83,75,4.61
195,Yar-Sale,RU,2022-02-06 00:18:55,66.8333,70.8333,-13.77,100,85,3.15
196,Alice Springs,AU,2022-02-06 00:18:55,-23.7,133.8833,76.55,38,0,9.22
197,Sitka,US,2022-02-06 00:18:56,57.0531,-135.33,42.69,75,100,29.93
198,Ploemeur,FR,2022-02-06 00:18:57,47.7333,-3.4333,51.62,86,93,18.41
199,Tignere,CM,2022-02-06 00:18:58,7.3667,12.65,62.15,22,9,2.8
200,Buckeye,US,2022-02-06 00:15:00,33.3703,-112.5838,69.13,12,0,4.61
201,Ripoll,ES,2022-02-06 00:18:59,42.2006,2.1903,45.05,74,35,1.01
202,Aksu,CN,2022-02-06 00:19:00,41.1231,80.2644,22.5,76,90,4.74
203,Barcelos,PT,2022-02-06 00:19:01,41.5388,-8.6151,50.14,78,0,5.46
204,Nantong,CN,2022-02-06 00:19:01,32.0303,120.8747,39.02,50,72,2.48
205,Chokurdakh,RU,2022-02-06 00:17:14,70.6333,147.9167,-32.08,100,100,1.92
206,Pallasovka,RU,2022-02-06 00:19:03,50.05,46.8833,7.18,96,50,9.44
207,Mbini,GQ,2022-02-06 00:19:03,1.574,9.6134,78.31,86,98,6.96
208,Cidreira,BR,2022-02-06 00:16:01,-30.1811,-50.2056,74.16,91,100,4.18
209,Deputatskiy,RU,2022-02-06 00:14:45,69.3,139.9,-30.37,98,97,2.91
210,George Town,MY,2022-02-06 00:15:21,5.4112,100.3354,79.9,89,20,2.3
211,Villa Maria,AR,2022-02-06 00:19:06,-32.4075,-63.2402,62.85,58,56,7.76
212,Sakassou,CI,2022-02-06 00:19:07,7.4546,-5.2926,80.28,35,4,3.85
213,Umm Kaddadah,SD,2022-02-06 00:19:07,13.6017,26.6876,56.1,23,70,17.13
214,Tabas,IR,2022-02-06 00:19:09,33.5959,56.9244,44.22,62,0,1.61
215,Golden,US,2022-02-06 00:19:10,39.7555,-105.2211,44.08,35,20,11.5
216,Troitskoye,RU,2022-02-06 00:19:11,52.9821,84.6757,0.59,99,72,4.14
217,Sao Felix Do Xingu,BR,2022-02-06 00:19:11,-6.6447,-51.995,73.65,94,96,1.83
218,Cururupu,BR,2022-02-06 00:18:11,-1.8283,-44.8683,74.84,92,75,2.93
219,Hokitika,NZ,2022-02-06 00:19:12,-42.7167,170.9667,66.83,55,96,8.5
220,Santa Rosa,PH,2022-02-06 00:15:55,14.3122,121.1114,81.1,70,91,16.71
221,Mackay,AU,2022-02-06 00:15:22,-21.15,149.2,80.69,71,50,20.4
222,Ust-Nera,RU,2022-02-06 00:19:15,64.5667,143.2,-22.11,67,11,2.33
223,Ouadda,CF,2022-02-06 00:19:15,8.0777,22.4007,71.55,18,100,7.81
224,Rio Gallegos,AR,2022-02-06 00:19:16,-51.6226,-69.2181,66.25,42,75,16.11
225,Codrington,AU,2022-02-06 00:14:50,-38.2667,141.9667,73.49,44,58,10.02
226,Atar,MR,2022-02-06 00:19:17,20.5169,-13.0499,70.9,11,0,3.94
227,Mao,ES,2022-02-06 00:19:18,39.8885,4.2658,46.96,93,20,8.05
228,Anloga,GH,2022-02-06 00:20:19,5.7947,0.8973,80.96,83,0,6.8
229,Cayon,KN,2022-02-06 00:20:20,17.35,-62.7333,74.73,83,40,8.05
230,Mason City,US,2022-02-06 00:17:33,43.1536,-93.201,25.25,81,0,6.91
231,Loknya,RU,2022-02-06 00:20:22,56.83,30.1467,31.93,93,100,9.22
232,Castelnuovo Rangone,IT,2022-02-06 00:20:23,44.5513,10.935,49.93,92,0,1.88
233,Quime,BO,2022-02-06 00:20:24,-16.9833,-67.2167,52.18,96,100,3.04
234,Bandarbeyla,SO,2022-02-06 00:20:25,9.4942,50.8122,74.07,74,80,8.63
235,Namibe,AO,2022-02-06 00:20:25,-15.1961,12.1522,73.08,66,100,10.02
236,Ciudad Bolivar,VE,2022-02-06 00:20:26,8.1222,-63.5497,84.0,44,30,6.78
237,Grand Island,US,2022-02-06 00:20:27,40.925,-98.342,50.38,32,0,3.44
238,Muzaffarabad,PK,2022-02-06 00:20:29,34.37,73.4711,45.18,59,92,3.96
239,Jabinyanah,TN,2022-02-06 00:20:29,35.035,10.9081,53.4,81,93,7.58
240,Esperance,AU,2022-02-06 00:15:40,-33.8667,121.9,74.75,51,4,17.74
241,Ternate,ID,2022-02-06 00:20:31,0.8,127.4,81.16,80,100,9.33
242,Netrakona,BD,2022-02-06 00:20:31,24.8833,90.7167,53.35,81,1,1.66
243,Olinda,BR,2022-02-06 00:20:32,-8.0089,-34.8553,82.13,65,0,6.91
244,Leningradskiy,RU,2022-02-06 00:20:29,69.3833,178.4167,-21.21,96,24,3.47
245,Conway,US,2022-02-06 00:20:33,35.0887,-92.4421,37.65,58,0,1.01
246,Ketchikan,US,2022-02-06 00:20:34,55.3422,-131.6461,46.38,65,100,16.11
247,Higueron,MX,2022-02-06 00:20:34,18.5833,-99.1667,83.37,30,0,3.22
248,Zhangjiakou,CN,2022-02-06 00:20:35,40.81,114.8794,10.11,66,2,4.54
249,Pittsburg,US,2022-02-06 00:18:45,38.028,-121.8847,67.05,41,0,3.0
250,Tiksi,RU,2022-02-06 00:20:36,71.6872,128.8694,-22.04,98,97,6.46
251,Arawa,PG,2022-02-06 00:20:37,-6.2132,155.5367,88.11,64,60,6.06
252,Dubbo,AU,2022-02-06 00:16:27,-32.25,148.6167,71.73,49,100,17.27
253,Majene,ID,2022-02-06 00:20:38,-3.5403,118.9707,79.36,81,95,3.87
254,Chuy,UY,2022-02-06 00:17:11,-33.6971,-53.4616,66.36,90,55,10.16
255,Acapulco,MX,2022-02-06 00:20:15,16.8634,-99.8901,82.22,74,0,9.22
256,Bubaque,GW,2022-02-06 00:20:40,11.2833,-15.8333,78.01,71,0,13.78
257,Basoko,CD,2022-02-06 00:20:42,1.2391,23.616,72.43,65,100,1.5
