City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,Tiksi,RU,71.6872,128.8694,-22.13,98,99,8.08,overcast clouds
114,Severo-Kurilsk,RU,50.6789,156.125,28.15,82,82,4.07,broken clouds
115,Port Lincoln,AU,-34.7333,135.8667,76.77,53,44,18.1,scattered clouds
116,Husavik,IS,66.0449,-17.3389,33.71,67,100,18.5,overcast clouds
117,Carnarvon,AU,-24.8667,113.6333,74.64,64,0,27.25,clear sky
118,Padang,ID,-0.9492,100.3543,78.53,78,82,2.82,broken clouds
119,Kiunga,PG,-6.1219,141.2906,77.45,90,100,2.73,overcast clouds
120,Kieta,PG,-6.2167,155.6333,81.23,85,100,8.12,overcast clouds
121,Puerto Ayora,EC,-0.7393,-90.3518,76.96,89,11,1.99,few clouds
122,Butaritari,KI,3.0707,172.7902,81.86,76,89,17.18,overcast clouds
123,Tamiahua,MX,21.2667,-97.45,58.21,86,100,12.21,overcast clouds
124,Mount Gambier,AU,-37.8333,140.7667,67.91,52,0,10.36,clear sky
125,Saskylakh,RU,71.9167,114.0833,-19.14,99,83,6.89,broken clouds
126,Ribeira Grande,PT,38.5167,-28.7,63.0,72,40,14.97,scattered clouds
127,Santa Isabel,BR,-23.3156,-46.2214,74.91,96,100,1.9,light rain
128,Gravdal,NO,68.1214,13.5031,35.28,93,75,6.91,broken clouds
129,Ostrovnoy,RU,68.0531,39.5131,14.59,86,97,16.58,overcast clouds
130,Dzaoudzi,YT,-12.7887,45.2699,76.89,83,99,8.05,overcast clouds
131,Blackfoot,US,43.1905,-112.345,17.38,94,33,4.43,scattered clouds
132,Provideniya,RU,64.3833,-173.3,-14.53,86,2,10.51,clear sky
133,Lilongwe,MW,-13.9669,33.7873,82.6,54,20,5.75,light rain
134,Port Elizabeth,ZA,-33.918,25.5701,85.1,53,1,10.38,clear sky
135,Mozarlandia,BR,-14.7447,-50.5706,76.87,84,100,0.81,overcast clouds
136,Fort Nelson,CA,58.8053,-122.7002,26.19,86,100,3.44,overcast clouds
137,Gat,IL,31.61,34.7642,64.4,100,0,6.55,clear sky
138,Bontang,ID,0.1333,117.5,79.21,84,100,10.87,overcast clouds
139,Aklavik,CA,68.2191,-135.0107,-33.77,85,100,17.11,overcast clouds
140,Uglovskoye,RU,51.3557,80.1942,15.85,79,6,11.72,clear sky
141,Bajil,YE,15.0584,43.2851,78.35,67,100,7.87,overcast clouds
