City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
219,Kavaratti,IN,78.73,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
222,Talcahuano,CL,60.48,overcast clouds,-36.7167,-73.1167,departamento comodo
226,Harper,LR,84.13,light rain,4.375,-7.7169,Screensaver
228,Muisne,EC,75.31,light rain,0.6,-80.0333,Quinta Samay
231,Yulara,AU,78.64,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
233,Palu,ID,76.62,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
234,Fort Myers Beach,US,64.0,clear sky,26.452,-81.9481,Lani Kai Island Resort
236,Port Maria,JM,80.56,moderate rain,18.3685,-76.8895,Galina Breeze Hotel
237,Kruisfontein,ZA,81.88,clear sky,-34.0033,24.7314,Oyster Bay House Rental
239,Atambua,ID,76.3,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
242,Ketou,BJ,99.88,broken clouds,7.3633,2.5998,Residences Celine Hotel Ketou
244,Trinidad,BO,78.78,broken clouds,-14.8333,-64.9,Hotel Piesta
247,Sur,OM,70.25,clear sky,22.5667,59.5289,Sur Plaza Hotel
251,Trairi,BR,82.44,overcast clouds,-3.2778,-39.2689,janelas do mar
253,Antsohihy,MG,82.85,light rain,-14.8796,47.9875,Hotel de Ville
255,Belle Glade,US,73.99,broken clouds,26.6845,-80.6676,Mid-City Trailer Park
257,Marawi,PH,68.65,scattered clouds,7.9986,124.2928,Derogongan Residence
259,Haapiti,PF,74.93,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
260,Seddon,AU,65.71,clear sky,-37.8068,144.8916,Footscray Motor Inn
262,Ilheus,BR,85.82,few clouds,-14.7889,-39.0494,Barravento Hotel
263,Coihaique,CL,70.41,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
266,Ngunguru,NZ,74.16,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
267,Puerto Padre,CU,78.01,scattered clouds,21.195,-76.6028,Casa Villa Velázquez
272,Bundaberg,AU,67.21,clear sky,-24.85,152.35,Takalvan Motel
273,Okato,NZ,70.92,light rain,-39.2,173.8833,Goodin Country Garden
274,Samarai,PG,81.07,overcast clouds,-10.6167,150.6667,Nuli Sapi
275,Rocha,UY,68.58,broken clouds,-34.4833,-54.3333,Hotel Arrarte
276,Chabahar,IR,70.83,clear sky,25.2919,60.643,هتل گدروشیا
278,Florence,IT,62.31,few clouds,43.7667,11.25,Italiana Hotels Florence
279,Santa Lucia,ES,63.72,few clouds,27.9117,-15.5407,Las Tirajanas
